"","employees","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",168.601193488576,244.221627875231,75.6204343866557,TRUE
"2","Employee 2",117.013689968735,157.925121183507,40.9114312147722,TRUE
"3","Employee 3",101.775276940316,210.91573741287,109.140460472554,TRUE
"4","Employee 4",157.828379049897,247.07579431124,89.2474152613431,TRUE
"5","Employee 5",171.733356406912,240.256501804106,68.5231453971937,TRUE
"6","Employee 6",182.644775975496,164.229872520082,-18.4149034554139,FALSE
"7","Employee 7",177.856240654364,204.070121259429,26.2138806050643,TRUE
"8","Employee 8",149.290612572804,170.206800219603,20.9161876467988,TRUE
"9","Employee 9",113.266275636852,195.172348478809,81.9060728419572,TRUE
"10","Employee 10",189.037787704729,211.469496344216,22.4317086394876,TRUE
"11","Employee 11",115.864177607,197.884060582146,82.0198829751462,TRUE
"12","Employee 12",144.533466431312,197.586066322401,53.0525998910889,TRUE
"13","Employee 13",106.851097964682,188.444162742235,81.5930647775531,TRUE
"14","Employee 14",107.605409552343,210.024600150064,102.41919059772,TRUE
"15","Employee 15",153.233299218118,159.17816220317,5.94486298505217,TRUE
"16","Employee 16",142.40863637533,247.189141786657,104.780505411327,TRUE
"17","Employee 17",158.982853824273,195.002433517948,36.019579693675,TRUE
"18","Employee 18",180.780315329321,231.602774676867,50.8224593475461,TRUE
"19","Employee 19",157.126916665584,228.532208572142,71.405291906558,TRUE
"20","Employee 20",104.235858074389,222.699898062274,118.464039987884,TRUE
"21","Employee 21",164.417187031358,175.584695721045,11.1675086896867,TRUE
"22","Employee 22",195.994459511712,204.516557184979,8.52209767326713,TRUE
"23","Employee 23",141.10749126412,225.050137168728,83.9426459046081,TRUE
"24","Employee 24",198.157886904664,227.554633771069,29.396746866405,TRUE
"25","Employee 25",164.629888301715,226.630235789344,62.0003474876285,TRUE
"26","Employee 26",107.408495945856,183.649270609021,76.2407746631652,TRUE
"27","Employee 27",147.774900472723,232.384441210888,84.6095407381654,TRUE
"28","Employee 28",175.929524097592,166.459757555276,-9.46976654231548,FALSE
"29","Employee 29",128.819855418988,153.646378195845,24.826522776857,TRUE
"30","Employee 30",189.051133976318,235.309662041254,46.2585280649364,TRUE
"31","Employee 31",142.970460373908,202.73641073145,59.7659503575414,TRUE
"32","Employee 32",129.724208498374,217.144404607825,87.4201961094514,TRUE
"33","Employee 33",102.617540629581,183.888976019807,81.2714353902265,TRUE
"34","Employee 34",172.907820739783,197.724669310264,24.8168485704809,TRUE
"35","Employee 35",143.614947702736,218.838220182806,75.2232724800706,TRUE
"36","Employee 36",195.748294703662,232.216177647933,36.467882944271,TRUE
"37","Employee 37",103.209194052033,219.578572153114,116.369378101081,TRUE
"38","Employee 38",165.778526524082,182.784223207273,17.0056966831908,TRUE
"39","Employee 39",180.295656411909,183.958754944615,3.6630985327065,TRUE
"40","Employee 40",106.275931885466,249.581694696099,143.305762810633,TRUE
"41","Employee 41",134.854838834144,196.347186877392,61.4923480432481,TRUE
"42","Employee 42",105.555640999228,180.884775798768,75.32913479954,TRUE
"43","Employee 43",186.815798142925,187.64552292414,0.829724781215191,TRUE
"44","Employee 44",187.961579533294,158.380074147135,-29.5815053861588,FALSE
"45","Employee 45",167.063222965226,248.010957590304,80.9477346250787,TRUE
"46","Employee 46",143.602649448439,249.77140550036,106.16875605192,TRUE
"47","Employee 47",196.269712178037,174.184269830585,-22.085442347452,FALSE
"48","Employee 48",112.693526851945,180.12741683051,67.4338899785653,TRUE
"49","Employee 49",135.177465411834,158.445250010118,23.2677845982835,TRUE
"50","Employee 50",144.335894333199,219.704447197728,75.3685528645292,TRUE
"51","Employee 51",123.309676139615,201.831358950585,78.5216828109697,TRUE
"52","Employee 52",185.609239619225,235.377195896581,49.7679562773556,TRUE
"53","Employee 53",140.185721660964,193.381634633988,53.195912973024,TRUE
"54","Employee 54",171.287008654326,236.080951802433,64.7939431481063,TRUE
"55","Employee 55",146.440893295221,189.773708954453,43.3328156592324,TRUE
"56","Employee 56",180.4315345129,159.660419565625,-20.7711149472743,FALSE
"57","Employee 57",127.732090791687,228.525364166126,100.793273374438,TRUE
"58","Employee 58",137.11759916041,218.44626062084,81.3286614604294,TRUE
"59","Employee 59",147.473128465936,219.956172024831,72.4830435588956,TRUE
"60","Employee 60",159.921860159375,237.139149405994,77.2172892466187,TRUE
"61","Employee 61",151.365272561088,177.831412479281,26.4661399181932,TRUE
"62","Employee 62",133.06168934796,229.255319526419,96.193630178459,TRUE
"63","Employee 63",193.037889525294,246.532009472139,53.4941199468449,TRUE
"64","Employee 64",142.374503309838,234.579347865656,92.2048445558175,TRUE
"65","Employee 65",123.996311798692,161.278250091709,37.2819382930174,TRUE
"66","Employee 66",173.180741840042,234.991088253446,61.8103464134037,TRUE
"67","Employee 67",144.338905648328,202.136927959509,57.7980223111808,TRUE
"68","Employee 68",110.395247419365,196.178579283878,85.7833318645135,TRUE
"69","Employee 69",197.043709573336,161.978682177141,-35.0650273961946,FALSE
"70","Employee 70",168.08271384798,201.364759518765,33.282045670785,TRUE
"71","Employee 71",181.771613657475,237.411272944883,55.639659287408,TRUE
"72","Employee 72",120.288039278239,190.798340621404,70.5103013431653,TRUE
"73","Employee 73",192.309757485054,152.484682085924,-39.8250753991306,FALSE
"74","Employee 74",148.9086775342,249.281697627157,100.373020092957,TRUE
"75","Employee 75",104.611776792444,217.926039919257,113.314263126813,TRUE
"76","Employee 76",106.519577419385,246.181779471226,139.662202051841,TRUE
"77","Employee 77",125.440841610543,153.382628015243,27.9417864046991,TRUE
"78","Employee 78",167.615367495455,214.969505253248,47.3541377577931,TRUE
"79","Employee 79",148.732090205885,224.284681561403,75.5525913555175,TRUE
"80","Employee 80",170.907507091761,246.484883921221,75.5773768294603,TRUE
"81","Employee 81",185.810066573322,245.904111559503,60.094044986181,TRUE
"82","Employee 82",170.118740852922,183.839636621997,13.7208957690746,TRUE
"83","Employee 83",112.583672557957,181.320742005482,68.7370694475248,TRUE
"84","Employee 84",132.183659099974,188.494394137524,56.3107350375503,TRUE
"85","Employee 85",190.849636984058,229.75184135139,38.9022043673322,TRUE
"86","Employee 86",125.54277186282,219.37879472971,93.8360228668898,TRUE
"87","Employee 87",125.907310307957,232.317040348426,106.409730040468,TRUE
"88","Employee 88",152.84781283699,210.739211924374,57.8913990873843,TRUE
"89","Employee 89",129.189978353679,219.687733356841,90.4977550031617,TRUE
"90","Employee 90",138.519876659848,162.190360832028,23.6704841721803,TRUE
"91","Employee 91",122.069955710322,159.282094612718,37.212138902396,TRUE
"92","Employee 92",118.697524885647,190.741605777293,72.0440808916464,TRUE
"93","Employee 93",175.233346689492,194.659553375095,19.4262066856027,TRUE
"94","Employee 94",142.429808434099,168.958117207512,26.5283087734133,TRUE
"95","Employee 95",160.560076334514,239.109102403745,78.5490260692313,TRUE
"96","Employee 96",147.445183573291,198.873530700803,51.4283471275121,TRUE
"97","Employee 97",169.02314373292,219.841979723424,50.8188359905034,TRUE
"98","Employee 98",108.763400884345,218.362652673386,109.599251789041,TRUE
"99","Employee 99",149.300581356511,237.015383667313,87.714802310802,TRUE
"100","Employee 100",175.317409238778,184.43001920823,9.11260996945202,TRUE
